campaign_id,user_at_domain,n_events,start_time,end_time,duration_seconds
1,U9263@DOM1,7,1075526,1178955,103429
2,U9263@DOM1,1,2552687,2552687,0
3,U9407@DOM1,1,1175047,1175047,0
4,U9763@DOM1,8,743733,771401,27668
5,U9947@DOM1,15,744902,749823,4921
6,U995@DOM1,3,729056,768847,39791
7,U995@DOM1,1,2303870,2303870,0
8,U12@DOM1,4,1068312,1075980,7668
9,U12@DOM1,2,2305203,2305324,121
10,U1306@DOM1,1,1363252,1363252,0
11,U13@DOM1,2,1071508,1072230,722
12,U1450@DOM1,7,747001,748428,1427
13,U1450@DOM1,4,1081806,1082118,312
14,U1467@C3597,1,2300154,2300154,0
15,U1480@DOM1,10,764140,765231,1091
16,U1480@DOM1,2,1075158,1076662,1504
17,U1506@DOM1,4,1243515,1243561,46
18,U1519@DOM1,1,1072952,1072952,0
19,U1569@DOM1,1,1078070,1078070,0
20,U1569@DOM1,1,1179228,1179228,0
21,U1581@DOM1,1,1078155,1078155,0
22,U1581@DOM1,2,1179107,1179121,14
23,U1025@DOM1,6,1152460,1155729,3269
24,U1592@DOM1,6,1099689,1100293,604
25,U1600@DOM1,3,739706,740104,398
26,U1600@DOM1,1,2304805,2304805,0
27,U162@DOM1,9,753336,774492,21156
28,U162@DOM1,2,1075076,1076776,1700
29,U1653@DOM1,12,725488,830822,105334
30,U1653@DOM1,3,1170101,1170583,482
31,U1723@DOM1,4,228642,230395,1753
32,U1723@DOM1,10,467590,491747,24157
33,U1723@DOM1,5,1070004,1081625,11621
34,U1789@DOM1,1,1078582,1078582,0
35,U207@DOM1,2,1075026,1076812,1786
36,U20@DOM1,1,1075884,1075884,0
37,U212@DOM1,3,727131,727619,488
38,U212@DOM1,1,2296175,2296175,0
39,U218@DOM1,4,772906,774514,1608
40,U218@DOM1,9,1072594,1077293,4699
41,U10379@C3521,1,726137,726137,0
42,U10379@C3521,1,2303788,2303788,0
43,U2231@DOM1,5,1094470,1096483,2013
44,U227@DOM1,1,1254446,1254446,0
45,U24@DOM1,4,1177653,1178388,735
46,U24@DOM1,1,1355621,1355621,0
47,U250@DOM1,1,738916,738916,0
48,U2575@DOM1,5,748127,754601,6474
49,U2575@DOM1,5,1070182,1174646,104464
50,U2758@DOM1,1,1172487,1172487,0
51,U2837@DOM1,15,736582,767246,30664
52,U288@DOM1,1,731492,731492,0
53,U293@DOM1,30,725983,766183,40200
54,U293@DOM1,1,2296329,2296329,0
55,U3005@DOM1,31,1087158,1178788,91630
56,U3005@DOM1,5,2301630,2303559,1929
57,U1048@DOM1,8,768006,769822,1816
58,U1048@DOM1,1,2305762,2305762,0
59,U314@DOM1,2,754921,765934,11013
60,U3206@DOM1,1,1246243,1246243,0
61,U3277@C2519,1,1072660,1072660,0
62,U3406@DOM1,1,2303505,2303505,0
63,U342@DOM1,7,750307,761173,10866
64,U342@DOM1,4,1070442,1072860,2418
65,U342@DOM1,1,2301831,2301831,0
66,U3486@DOM1,2,1092406,1093723,1317
67,U349@DOM1,4,737011,741544,4533
68,U3549@DOM1,13,1180895,1255347,74452
69,U3575@DOM1,1,1245678,1245678,0
70,U3635@DOM1,13,759396,763783,4387
71,U3635@DOM1,5,1070146,1178234,108088
72,U1106@DOM1,2,1245222,1245398,176
73,U3718@DOM1,1,749816,749816,0
74,U3718@DOM1,1,2461523,2461523,0
75,U374@DOM1,2,747939,748397,458
76,U374@DOM1,1,2370254,2370254,0
77,U3764@DOM1,1,1852419,1852419,0
78,U3905@DOM1,1,728800,728800,0
79,U4112@DOM1,2,773143,773153,10
80,U4112@DOM1,1,1070204,1070204,0
81,U415@DOM1,4,1077076,1078108,1032
82,U415@DOM1,2,1359792,1363492,3700
83,U4353@DOM1,12,741190,768685,27495
84,U4448@DOM1,6,770512,771631,1119
85,U4448@DOM1,7,1070066,1179675,109609
86,U4448@DOM1,1,2305554,2305554,0
87,U453@DOM1,2,1075114,1076742,1628
88,U4856@DOM1,1,741971,741971,0
89,U1133@DOM1,5,1089536,1167801,78265
90,U4978@DOM1,3,728106,773387,45281
91,U4978@DOM1,2,2297696,2364275,66579
92,U5087@DOM1,10,743030,744255,1225
93,U5087@DOM1,3,2297658,2304959,7301
94,U524@DOM1,2,1361921,1362045,124
95,U5254@DOM1,2,768636,769069,433
96,U5254@DOM1,1,1070100,1070100,0
97,U6115@DOM1,1,151993,151993,0
98,U620@DOM1,1,150885,150885,0
99,U636@DOM1,1,153792,153792,0
100,U636@DOM1,1,486443,486443,0
101,U642@DOM1,2,757625,757755,130
102,U655@DOM1,2,1179553,1179589,36
103,U655@DOM1,1,2552687,2552687,0
104,U6572@DOM1,1,752606,752606,0
105,U6572@DOM1,1,2306980,2306980,0
106,U1145@DOM1,11,1075096,1078099,3003
107,U1145@DOM1,1,2373636,2373636,0
108,U6691@DOM1,2,1081539,1081550,11
109,U66@DOM1,27,766788,774452,7664
110,U66@DOM1,83,1066394,1179625,113231
111,U66@DOM1,3,1847858,1847922,64
112,U66@DOM1,5,2304891,2372551,67660
113,U6764@DOM1,1,1078163,1078163,0
114,U679@DOM1,2,1352110,1356094,3984
115,U7004@C2519,1,1073778,1073778,0
116,U7311@DOM1,2,1358383,1358404,21
117,U7375@DOM1,7,770115,771133,1018
118,U737@C10,1,1166916,1166916,0
119,U737@DOM1,2,464545,466195,1650
120,U737@DOM1,3,578438,635015,56577
121,U737@DOM1,10,751373,770138,18765
122,U737@DOM1,4,1089597,1177633,88036
123,U737@DOM1,1,1328198,1328198,0
124,U737@DOM1,1,1758226,1758226,0
125,U737@DOM1,1,1931895,1931895,0
126,U737@DOM1,10,2307167,2557047,249880
127,U7394@DOM1,3,767289,767320,31
128,U114@DOM1,4,1244616,1246653,2037
129,U748@DOM1,18,151036,234667,83631
130,U748@DOM1,8,460197,464260,4063
131,U7507@DOM1,10,1077048,1179410,102362
132,U7507@DOM1,2,1359668,1359680,12
133,U7594@DOM1,1,1243623,1243623,0
134,U7761@C2519,2,1072998,1073810,812
135,U78@DOM1,2,1086678,1086690,12
136,U795@DOM1,1,744215,744215,0
137,U795@DOM1,1,2305081,2305081,0
138,U8168@C19038,1,1233528,1233528,0
139,U8168@C685,3,1351641,1351845,204
140,U8170@DOM1,3,1184399,1242383,57984
141,U8170@DOM1,1,1361496,1361496,0
142,U825@DOM1,1,584551,584551,0
143,U825@DOM1,1,1241392,1241392,0
144,U1164@DOM1,1,766879,766879,0
145,U8601@DOM1,8,727060,769022,41962
146,U8601@DOM1,4,1090503,1090929,426
147,U8601@DOM1,1,2296449,2296449,0
148,U86@C10,3,1167125,1167193,68
149,U86@DOM1,5,1179969,1184879,4910
150,U86@DOM1,3,1328340,1328481,141
151,U8777@C1500,1,747247,747247,0
152,U8777@C1500,1,1355106,1355106,0
153,U8777@C3388,1,747478,747478,0
154,U8777@C3388,4,1353700,1355036,1336
155,U8777@C583,2,746387,747229,842
156,U8777@C583,1,2365209,2365209,0
157,U8777@DOM1,1,1246511,1246511,0
158,U882@DOM1,3,746151,746595,444
159,U8840@DOM1,1,1362624,1362624,0
160,U8946@DOM1,10,726008,737761,11753
161,U8946@DOM1,1,1233528,1233528,0
162,U1289@DOM1,5,1072316,1082081,9765
